date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
07/12/2017,gb,3,2721653,1bhUWB0zJMIKr9yVPrkEuI,"['Ed Sheeran', 'Beyoncé']","['dance pop', 'r&b', 'pop', 'uk pop']",259550,FALSE,Perfect Duet (Ed Sheeran & Beyoncé)
14/12/2017,gb,6,2000615,1bhUWB0zJMIKr9yVPrkEuI,"['Ed Sheeran', 'Beyoncé']","['dance pop', 'r&b', 'pop', 'uk pop']",259550,FALSE,Perfect Duet (Ed Sheeran & Beyoncé)
21/12/2017,gb,8,1916422,1bhUWB0zJMIKr9yVPrkEuI,"['Ed Sheeran', 'Beyoncé']","['dance pop', 'r&b', 'pop', 'uk pop']",259550,FALSE,Perfect Duet (Ed Sheeran & Beyoncé)
07/12/2017,jp,8,99909,1bhUWB0zJMIKr9yVPrkEuI,"['Ed Sheeran', 'Beyoncé']","['dance pop', 'r&b', 'pop', 'uk pop']",259550,FALSE,Perfect Duet (Ed Sheeran & Beyoncé)
01/11/2018,jp,8,138113,13hvHEstJ4sNbzdroPrPI3,"['Dua Lipa', 'BLACKPINK']","['pop', 'k-pop', 'k-pop girl group', 'dance pop', 'uk pop']",190560,FALSE,Kiss and Make Up
09/11/2017,gb,3,2607628,1mXVgsBdtIVeCLJnSnmtdV,['Sam Smith'],"['dance pop', 'pop', 'uk pop']",201000,FALSE,Too Good At Goodbyes
16/11/2017,gb,3,2326285,1mXVgsBdtIVeCLJnSnmtdV,['Sam Smith'],"['dance pop', 'pop', 'uk pop']",201000,FALSE,Too Good At Goodbyes
23/11/2017,gb,6,2043560,1mXVgsBdtIVeCLJnSnmtdV,['Sam Smith'],"['dance pop', 'pop', 'uk pop']",201000,FALSE,Too Good At Goodbyes
09/11/2017,jp,10,99302,1mXVgsBdtIVeCLJnSnmtdV,['Sam Smith'],"['dance pop', 'pop', 'uk pop']",201000,FALSE,Too Good At Goodbyes
23/05/2019,gb,10,2197253,0pEkK8MqbmGSX7fT8WLMbR,['Lewis Capaldi'],"['pop', 'uk pop']",185657,FALSE,Grace
